Resultados de Conversión:
Archivo analizado: TC1.txt
Número: 6980368, Binario: 11010101000001100010000, Hexadecimal: 6A8310
Número: 5517055, Binario: 10101000010111011111111, Hexadecimal: 542EFF
Número: 1336159, Binario: 101000110001101011111, Hexadecimal: 14635F
Número: 6750185, Binario: 11001101111111111101001, Hexadecimal: 66FFE9
Número: 1771937, Binario: 110110000100110100001, Hexadecimal: 1B09A1
Número: 360952, Binario: 1011000000111111000, Hexadecimal: 581F8
Número: 5672561, Binario: 10101101000111001110001, Hexadecimal: 568E71
Número: 916583, Binario: 11011111110001100111, Hexadecimal: DFC67
Número: 2700138, Binario: 1010010011001101101010, Hexadecimal: 29336A
Número: 9645053, Binario: 100100110010101111111101, Hexadecimal: 932BFD
Número: 1181110, Binario: 100100000010110110110, Hexadecimal: 1205B6
Número: 1492185, Binario: 101101100010011011001, Hexadecimal: 16C4D9
Número: 4018595, Binario: 1111010101000110100011, Hexadecimal: 3D51A3
Número: 7654888, Binario: 11101001100110111101000, Hexadecimal: 74CDE8
Número: 7062453, Binario: 11010111100001110110101, Hexadecimal: 6BC3B5
Número: 2478010, Binario: 1001011100111110111010, Hexadecimal: 25CFBA
Número: 6134768, Binario: 10111011001101111110000, Hexadecimal: 5D9BF0
Número: 8420417, Binario: 100000000111110001000001, Hexadecimal: 807C41
Número: 2917489, Binario: 1011001000010001110001, Hexadecimal: 2C8471
Número: 3340773, Binario: 1100101111100111100101, Hexadecimal: 32F9E5
Número: 1115956, Binario: 100010000011100110100, Hexadecimal: 110734
Número: 9172192, Binario: 100010111111010011100000, Hexadecimal: 8BF4E0
Número: 6271996, Binario: 10111111011001111111100, Hexadecimal: 5FB3FC
Número: 8686939, Binario: 100001001000110101011011, Hexadecimal: 848D5B
Número: 50986, Binario: 1100011100101010, Hexadecimal: C72A
Número: 9376410, Binario: 100011110001001010011010, Hexadecimal: 8F129A
Número: 5962327, Binario: 10110101111101001010111, Hexadecimal: 5AFA57
Número: 7686891, Binario: 11101010100101011101011, Hexadecimal: 754AEB
Número: 6615183, Binario: 11001001111000010001111, Hexadecimal: 64F08F
Número: 1864844, Binario: 111000111010010001100, Hexadecimal: 1C748C
Número: 3329962, Binario: 1100101100111110101010, Hexadecimal: 32CFAA
Número: 3942794, Binario: 1111000010100110001010, Hexadecimal: 3C298A
Número: 2614836, Binario: 1001111110011000110100, Hexadecimal: 27E634
Número: 7406772, Binario: 11100010000010010110100, Hexadecimal: 7104B4
Número: 2384190, Binario: 1001000110000100111110, Hexadecimal: 24613E
Número: 398347, Binario: 1100001010000001011, Hexadecimal: 6140B
Número: 8698503, Binario: 100001001011101010000111, Hexadecimal: 84BA87
Número: 9551696, Binario: 100100011011111101010000, Hexadecimal: 91BF50
Número: 1019556, Binario: 11111000111010100100, Hexadecimal: F8EA4
Número: 1677430, Binario: 110011001100001110110, Hexadecimal: 199876
Número: 3479629, Binario: 1101010001100001001101, Hexadecimal: 35184D
Número: 9309008, Binario: 100011100000101101010000, Hexadecimal: 8E0B50
Número: 5266170, Binario: 10100000101101011111010, Hexadecimal: 505AFA
Número: 4094340, Binario: 1111100111100110000100, Hexadecimal: 3E7984
Número: 1754055, Binario: 110101100001111000111, Hexadecimal: 1AC3C7
Número: 5861132, Binario: 10110010110111100001100, Hexadecimal: 596F0C
Número: 4471329, Binario: 10001000011101000100001, Hexadecimal: 443A21
Número: 8826052, Binario: 100001101010110011000100, Hexadecimal: 86ACC4
Número: 7469325, Binario: 11100011111100100001101, Hexadecimal: 71F90D
Número: 1973172, Binario: 111100001101110110100, Hexadecimal: 1E1BB4
Número: 53145, Binario: 1100111110011001, Hexadecimal: CF99
Número: 3897508, Binario: 1110110111100010100100, Hexadecimal: 3B78A4
Número: 7773386, Binario: 11101101001110011001010, Hexadecimal: 769CCA
Número: 6089829, Binario: 10111001110110001100101, Hexadecimal: 5CEC65
Número: 4223424, Binario: 10000000111000111000000, Hexadecimal: 4071C0
Número: 9761752, Binario: 100101001111001111011000, Hexadecimal: 94F3D8
Número: 7930799, Binario: 11110010000001110101111, Hexadecimal: 7903AF
Número: 3597495, Binario: 1101101110010010110111, Hexadecimal: 36E4B7
Número: 9302948, Binario: 100011011111001110100100, Hexadecimal: 8DF3A4
Número: 2288712, Binario: 1000101110110001001000, Hexadecimal: 22EC48
Número: 197187, Binario: 110000001001000011, Hexadecimal: 30243
Número: 5266939, Binario: 10100000101110111111011, Hexadecimal: 505DFB
Número: 221545, Binario: 110110000101101001, Hexadecimal: 36169
Número: 7957027, Binario: 11110010110101000100011, Hexadecimal: 796A23
Número: 3195361, Binario: 1100001100000111100001, Hexadecimal: 30C1E1
